item_id,x,y,cluster
273358,-0.93897253,0.8065568,Grupo 5
274364,-0.16118419,-0.75963175,Grupo 6
463382,0.51628685,-0.47967848,Grupo 4
84243,0.5122111,-0.10508965,Grupo 4
45707,-0.45721865,0.1472046,Grupo 5
62290,-0.33585763,-0.5052139,Grupo 6
315287,0.2738402,0.32634723,Grupo 2
298868,-1.855276,0.73060966,Grupo 5
95241,-0.15850115,0.22533178,Grupo 3
259007,-0.078733444,0.05667404,Grupo 6
6543,-0.049601555,0.40120056,Grupo 2
363205,0.099175334,0.5059724,Grupo 3
81800,0.5379505,-0.275207,Grupo 3
218295,0.12699306,0.29881084,Grupo 6
458365,-0.5151907,0.33638668,Grupo 5
372641,-0.40653098,-0.43896112,Grupo 6
238892,-0.37331104,-0.24596043,Grupo 1
275331,0.09331524,0.33321396,Grupo 6
127009,0.18159115,-0.7924423,Grupo 2
193409,-1.2311372,-0.921937,Grupo 1
95255,-0.2010225,0.2962552,Grupo 6
454380,0.050758004,0.5223514,Grupo 3
212034,-0.401888,0.6679802,Grupo 5
134376,0.30643094,-0.19497219,Grupo 3
166050,-1.5200677,0.6930692,Grupo 5
212015,0.43747878,0.3133275,Grupo 3
134167,0.48825145,0.3544552,Grupo 4
391484,-1.6096251,0.30656406,Grupo 5
316680,0.6641834,0.17888862,Grupo 4
346143,0.4420755,-0.19277114,Grupo 4
350743,-0.41861618,0.21618077,Grupo 5
283067,0.13515997,-0.06383532,Grupo 2
445903,-0.30462217,-0.16359797,Grupo 2
329609,0.051995635,-0.26541334,Grupo 3
106856,0.4834683,0.070091754,Grupo 3
26396,-0.24134254,0.15726349,Grupo 3
346935,0.29446423,-0.12355471,Grupo 3
451675,0.4431491,0.29731166,Grupo 2
375779,0.09176791,0.72908187,Grupo 2
356067,-0.8760017,-0.3712681,Grupo 6
391760,-0.013514519,-0.6353494,Grupo 6
238970,0.08236158,-0.089372866,Grupo 6
220688,-0.26408637,-0.38755217,Grupo 3
267897,-0.34121382,0.1231357,Grupo 6
186565,0.3934474,-0.055205077,Grupo 4
391976,-0.33996916,-0.0055892095,Grupo 6
115218,0.56281805,0.4997432,Grupo 4
350993,0.13587725,-0.041649222,Grupo 6
265425,0.52322173,0.18047856,Grupo 4
410355,-0.39565313,0.24285653,Grupo 6
234116,-0.06389296,-0.10408815,Grupo 6
61220,-0.29912138,-0.7135521,Grupo 1
213593,-1.189816,-1.1007671,Grupo 1
375669,-0.3333012,0.058791652,Grupo 6
7029,-0.640501,-0.53758705,Grupo 1
8611,-0.88347405,-0.030020956,Grupo 5
394754,-0.7084445,-0.787498,Grupo 1
206561,0.11244464,0.38088042,Grupo 3
154192,0.31162798,0.12896,Grupo 2
59192,0.39406395,-0.25790215,Grupo 4
149979,-0.45865846,0.06587042,Grupo 6
427507,-0.47997832,0.10921919,Grupo 5
66674,0.7375963,-0.10052262,Grupo 4
202370,-0.05041349,0.9197216,Grupo 3
384585,-0.1323626,-0.5708538,Grupo 1
362414,-0.6209644,-0.09348913,Grupo 6
97076,0.1883173,0.4377198,Grupo 3
240830,1.0214732,-0.28775227,Grupo 4
26032,-0.85914296,-0.8059131,Grupo 1
286620,-0.2634946,-0.18631618,Grupo 6
106447,-0.89064324,0.67408776,Grupo 5
463487,-0.6289089,0.2491337,Grupo 5
180101,0.49374843,0.4195915,Grupo 4
87966,0.33498967,-0.10529636,Grupo 3
67068,0.46525884,-0.06328199,Grupo 3
10890,-0.2876445,-0.87278163,Grupo 1
307932,-0.710002,1.202144,Grupo 5
198906,-1.0131121,0.107301116,Grupo 5
289100,-0.24487936,-0.10592923,Grupo 6
315666,0.35838223,0.067980945,Grupo 2
463969,-0.5268043,-0.24958922,Grupo 6
239181,0.4431231,0.32957423,Grupo 3
121108,0.6868615,0.36947718,Grupo 2
276512,-0.143296,0.26785284,Grupo 3
309351,-0.91200423,-0.9310217,Grupo 1
406413,-1.0383108,0.72775793,Grupo 5
112538,-0.242437,-0.92706454,Grupo 1
76403,-0.03682387,-0.00020297617,Grupo 6
161230,0.28708076,-0.07303109,Grupo 3
421862,0.071068645,0.62524235,Grupo 6
138552,0.43003345,0.396605,Grupo 3
148557,-0.72550625,0.4608468,Grupo 5
109298,0.54917264,0.19812125,Grupo 2
321410,-0.049032927,0.213898,Grupo 6
295629,-0.40266728,0.3842129,Grupo 5
412420,-0.4357611,-0.52120066,Grupo 1
235173,0.354573,-0.46432686,Grupo 3
44753,-0.11498189,-0.04899522,Grupo 6
464205,-0.28140545,-0.48872083,Grupo 1
168768,-0.23798335,-0.40149298,Grupo 1
259676,0.49717546,0.06457578,Grupo 3
317274,-0.45581472,-0.8050473,Grupo 1
441269,0.6073704,0.43693885,Grupo 2
70648,0.4847598,-0.071468994,Grupo 2
363505,0.00023937225,0.6294458,Grupo 6
326693,-0.5047275,0.4635804,Grupo 5
59509,0.44381976,-0.025251329,Grupo 4
192353,-0.16584468,0.36563772,Grupo 2
423841,0.48330736,-0.3852093,Grupo 3
22013,0.1903913,-0.1551376,Grupo 3
378676,-0.95103365,-0.14982976,Grupo 6
206006,0.582973,-0.31694782,Grupo 4
394376,0.6061585,0.2341831,Grupo 4
128567,-0.7217187,-0.5210268,Grupo 1
13855,-1.6283468,0.6416404,Grupo 5
357973,0.5366683,0.6367253,Grupo 3
159995,0.22771132,0.35671532,Grupo 3
419573,-0.42488778,0.31891283,Grupo 5
55925,-1.6453968,0.18804273,Grupo 5
116841,0.09607577,0.12267098,Grupo 6
181673,-1.5019711,-1.3641742,Grupo 1
115567,-0.77818495,0.14065447,Grupo 5
334765,-0.052898526,-0.6564796,Grupo 3
247548,0.11718142,0.5324881,Grupo 3
430905,0.037540317,0.2759652,Grupo 3
86511,0.39907527,0.11776495,Grupo 2
34749,-0.013716102,0.02638425,Grupo 2
26987,1.001859,0.36506075,Grupo 2
129960,-1.7851403,0.33101225,Grupo 5
234280,0.8735454,0.19812831,Grupo 4
377028,-0.052395105,0.44917443,Grupo 2
143372,0.71557,0.16351125,Grupo 2
335252,0.3443303,-0.31592906,Grupo 3
412337,-0.31917036,0.10520081,Grupo 3
306429,0.5612905,-0.58494353,Grupo 4
45849,-0.32800412,-0.45736063,Grupo 3
95551,0.19902647,0.39001164,Grupo 3
204999,-0.2816943,0.20294389,Grupo 2
13669,0.66249347,-0.3009592,Grupo 4
161510,0.48897696,-0.049058393,Grupo 4
444920,-0.37098873,-0.18820897,Grupo 6
140272,0.5548508,-0.038860418,Grupo 4
391096,0.78022027,0.14146094,Grupo 4
379771,0.53868055,0.19745159,Grupo 4
351476,-0.2886008,0.29112667,Grupo 5
214085,0.033111215,-0.43158564,Grupo 3
77161,-0.04962349,0.17378132,Grupo 2
338561,-0.44844174,-0.059106357,Grupo 1
100393,-1.1153057,-0.44618335,Grupo 1
410086,0.05995071,-0.15876338,Grupo 6
211231,0.31385672,-0.30351257,Grupo 3
182009,0.6543753,0.118620604,Grupo 4
180994,-0.14038575,0.17102186,Grupo 3
243964,-0.37199926,0.28421053,Grupo 5
423911,-0.58601105,-0.82978153,Grupo 1
164034,-0.75615084,0.571406,Grupo 6
264685,0.27801287,-0.02637441,Grupo 4
211772,0.21049225,0.18778011,Grupo 6
215129,-0.20300245,0.15944116,Grupo 6
307274,0.24291122,0.32962117,Grupo 2
212578,-0.32501817,-0.46046218,Grupo 3
79949,0.6999159,0.15461387,Grupo 4
433759,0.09235394,-0.3520599,Grupo 6
63312,-1.0289015,-0.37301502,Grupo 1
133505,-0.11202049,0.5397649,Grupo 6
269314,0.4853394,0.2193149,Grupo 2
52425,0.88975286,-0.35972294,Grupo 4
57019,0.6660602,0.18537658,Grupo 4
148184,-0.22104228,0.22928715,Grupo 5
178702,0.33840132,-0.23977992,Grupo 2
130971,-0.4084382,-0.3499627,Grupo 6
182483,0.076158404,0.4226816,Grupo 3
187362,0.017715573,-0.1054769,Grupo 3
147406,-0.030974984,-0.08361576,Grupo 3
183033,0.13427734,-0.26071417,Grupo 3
391737,-0.52635586,0.09258573,Grupo 5
340899,0.33843565,-0.11087583,Grupo 4
310908,0.36647916,0.08259535,Grupo 4
155245,-0.260849,-0.28307015,Grupo 1
226075,0.4763739,0.035670914,Grupo 4
29726,0.48616648,-0.6780565,Grupo 4
31199,-1.2691593,0.10120106,Grupo 5
221987,-0.6620567,-0.7278516,Grupo 1
307530,0.40467858,-0.21820828,Grupo 4
53837,-0.14765263,0.22689888,Grupo 3
440866,-0.23447526,-0.37219316,Grupo 6
432066,-0.009958267,-0.06184019,Grupo 2
57413,0.80969405,-0.21008377,Grupo 4
252414,0.598686,0.0052672625,Grupo 3
379911,-1.4226112,0.17841816,Grupo 5
270880,0.73762965,-0.080343686,Grupo 4
190420,0.21725631,-0.49723333,Grupo 3
349643,0.57783055,-0.32095298,Grupo 4
313806,0.025035381,0.14237091,Grupo 6
14428,-0.7319142,-0.35630834,Grupo 6
76848,-0.65189564,-0.6087271,Grupo 6
53420,0.4928577,-0.43140024,Grupo 2
277211,-0.869538,-0.30778983,Grupo 6
43389,-0.4621235,-0.46209475,Grupo 6
405567,0.9420812,-0.24596767,Grupo 4
352371,0.5088291,0.14480704,Grupo 3
375445,-0.14789665,0.31320825,Grupo 3
77739,0.15199769,-0.38454643,Grupo 2
280296,0.45449424,-0.20730047,Grupo 4
447898,0.581373,0.23082435,Grupo 4
352258,-1.4237409,0.29678333,Grupo 5
324824,-0.8303149,0.32202178,Grupo 5
129116,-0.77101946,-0.0052732453,Grupo 5
347461,-0.4642763,0.39129362,Grupo 6
183056,0.5174153,0.1591226,Grupo 4
19334,0.5167384,-0.2974969,Grupo 4
118681,-0.16684997,0.56648564,Grupo 3
268956,-0.4581542,0.30916032,Grupo 6
131794,-0.80370617,0.19247738,Grupo 5
143622,-0.67024916,0.017699093,Grupo 5
106055,0.4631188,0.28268117,Grupo 2
99802,-1.4212686,0.5564772,Grupo 5
191545,-0.034428477,0.15611216,Grupo 3
280731,0.34473753,-0.006776627,Grupo 2
429491,-0.14860487,-0.35996932,Grupo 6
3727,0.18802786,-0.40428644,Grupo 3
342492,0.57995844,-0.2110032,Grupo 4
31631,-0.17734408,0.28351793,Grupo 3
240393,0.98012686,0.18151866,Grupo 4
275956,0.60602784,0.50868094,Grupo 4
165486,0.34720516,0.49610922,Grupo 2
133250,0.16633773,0.2604591,Grupo 3
345797,0.41169405,-0.12307259,Grupo 2
420052,0.09588039,-0.17859076,Grupo 3
261963,0.090446234,0.07199311,Grupo 3
358697,0.45733118,-0.15987897,Grupo 2
49116,0.7885728,-0.278292,Grupo 4
224514,0.80693316,-0.05390019,Grupo 4
94275,-0.60740256,0.303843,Grupo 5
55120,-0.4077325,-0.0027027205,Grupo 6
66978,0.15849936,0.314284,Grupo 3
29940,-1.4459071,-0.20011611,Grupo 5
431803,0.46397352,0.17204517,Grupo 4
340858,0.55711246,-0.24121931,Grupo 2
417366,-0.093336344,0.06740247,Grupo 6
289667,-0.9806589,-0.36543003,Grupo 1
259141,-0.18054533,-0.14718881,Grupo 2
156734,0.80906796,-0.024156235,Grupo 4
339665,-0.9564025,0.10704684,Grupo 5
44613,0.3373072,0.39666384,Grupo 2
351815,0.30411816,0.015206158,Grupo 2
221550,-0.0005182028,-0.033356145,Grupo 6
412807,0.17449617,-0.71523345,Grupo 2
13825,-0.655965,-0.19530946,Grupo 5
369919,-0.7928565,-0.32306287,Grupo 5
371411,0.25407028,-0.89006436,Grupo 4
268038,0.8381369,0.29038742,Grupo 4
28861,0.039739847,0.463989,Grupo 2
439924,0.12598252,-0.23148987,Grupo 2
280970,-0.31649494,-0.35264343,Grupo 6
363878,0.5747094,0.37399074,Grupo 2
284188,0.40364265,-0.3282047,Grupo 2
137985,-0.74515194,0.26158696,Grupo 5
54171,0.7980058,0.1947678,Grupo 4
38259,0.65738416,-0.6791742,Grupo 4
38470,-0.69194937,0.24220106,Grupo 5
452895,0.80206156,-0.16134425,Grupo 4
299044,-1.0008519,0.7869841,Grupo 5
167918,-0.40235007,-0.32263693,Grupo 6
370268,-1.1276435,-0.8917475,Grupo 1
62529,-0.26332152,-0.0975029,Grupo 6
191994,-0.3061887,0.075102106,Grupo 6
70789,-1.0132549,0.22017252,Grupo 5
223465,-0.94954133,-0.24065395,Grupo 5
359981,-0.11079228,0.21070734,Grupo 2
463751,-0.9909847,0.16731805,Grupo 5
257289,-0.14728785,0.4903027,Grupo 3
397114,0.82065463,0.005974889,Grupo 4
293309,0.5874176,-0.46010464,Grupo 4
169966,0.68288565,-0.74374676,Grupo 4
222012,-0.15655625,0.48498335,Grupo 3
409308,0.59610224,-0.02465567,Grupo 2
304281,-1.0080997,0.07865693,Grupo 5
337724,0.36880016,0.42178673,Grupo 2
453411,-0.2605523,0.06777428,Grupo 3
401081,0.4847803,0.115529925,Grupo 2
410362,-0.028323889,0.20164558,Grupo 2
248113,0.41147017,0.33854288,Grupo 3
196536,-0.5128689,0.011886731,Grupo 6
39559,0.46204305,0.4637212,Grupo 2
39140,0.8838074,0.014212288,Grupo 4
317640,0.3508973,0.00060462207,Grupo 3
290242,-0.20731652,-0.41212636,Grupo 6
206649,0.26804757,-0.4860572,Grupo 4
325601,-0.38073254,0.39276594,Grupo 6
353782,0.91596675,-0.2680871,Grupo 4
299894,0.457767,-0.5696558,Grupo 4
381063,-0.1894145,-0.67298007,Grupo 1
363754,-0.6331643,0.3503124,Grupo 5
70796,-0.21763754,0.03570257,Grupo 3
342364,0.041064262,-0.013205368,Grupo 6
328358,-0.0070052147,0.09448111,Grupo 3
388045,0.68532205,0.2932073,Grupo 3
127317,1.0558946,-0.2688964,Grupo 4
237666,0.24095595,0.41221553,Grupo 2
64942,0.8457432,0.30517572,Grupo 2
131034,-0.28333187,0.13773116,Grupo 3
376026,-0.334669,-0.078598075,Grupo 6
20192,0.29163527,-0.23214214,Grupo 4
459040,0.27133608,0.52429247,Grupo 6
425296,-0.46693754,-0.6702131,Grupo 1
152284,0.36098194,0.045468748,Grupo 3
26668,0.6915505,-0.4907593,Grupo 4
61298,-1.3137374,-0.007215757,Grupo 5
459354,-0.8776092,0.5396745,Grupo 5
254420,-0.1749692,-0.21573459,Grupo 6
377762,0.6558943,0.14757459,Grupo 2
299158,0.11571276,0.5168774,Grupo 2
63496,-0.44496405,0.5732267,Grupo 5
99003,-0.38217902,0.362164,Grupo 6
187351,-0.659299,0.13510603,Grupo 5
185882,0.21511316,0.37481302,Grupo 2
92320,0.8887458,0.15340354,Grupo 4
280778,0.8071401,0.058675483,Grupo 4
430901,0.13359654,0.32342303,Grupo 2
197862,-0.6103425,-0.19144823,Grupo 1
126989,-0.75200444,0.17495786,Grupo 5
334908,0.20641243,-0.1616993,Grupo 4
399433,0.6446068,0.12541896,Grupo 4
23374,0.9673948,-0.20011103,Grupo 4
89156,0.36260915,-0.27891836,Grupo 4
303470,0.5659325,-0.50783587,Grupo 4
79804,-0.5144129,-0.46196875,Grupo 1
27332,0.5999334,0.056873232,Grupo 4
385560,0.71493673,0.061251253,Grupo 4
281428,0.14481485,-0.18770942,Grupo 4
203792,-0.25883627,-0.5685036,Grupo 1
463331,-0.9458066,-0.016395025,Grupo 5
292454,0.5769284,-0.088643424,Grupo 4
362046,0.028435469,-0.0495087,Grupo 3
418691,-1.0954541,-0.9734044,Grupo 1
134799,-0.6100099,0.22812709,Grupo 5
5248,0.86401653,0.14809185,Grupo 4
300832,0.37338972,-0.13740146,Grupo 4
264715,-1.0187874,0.468222,Grupo 5
100004,-0.3187815,0.41659412,Grupo 3
45410,0.16706145,0.094143435,Grupo 3
172181,0.5485542,-0.22513618,Grupo 2
391387,-0.25557005,-0.38760537,Grupo 6
373472,0.009858966,-0.45919293,Grupo 3
248153,0.84115386,7.8089535e-05,Grupo 4
72196,-0.2653787,-0.017151278,Grupo 3
362495,-0.18146038,-1.2729907,Grupo 6
432976,0.50599265,0.45504716,Grupo 3
277156,0.3490653,0.012378104,Grupo 2
208458,-0.5357683,-0.38502243,Grupo 6
203750,-1.016902,0.5264752,Grupo 5
254523,-0.24119806,0.30328587,Grupo 2
106402,-0.026383996,0.50635195,Grupo 2
417621,-0.4087596,0.48900464,Grupo 6
431417,0.25124276,0.52828383,Grupo 3
105942,-0.4027542,0.45643327,Grupo 3
228526,0.77595973,-0.24462235,Grupo 2
318975,0.9156885,0.32515433,Grupo 4
150875,-1.2778153,-1.3239435,Grupo 1
249643,0.2310462,0.09133008,Grupo 2
187618,-0.5629442,-0.47927183,Grupo 1
317551,0.5922251,0.039276406,Grupo 4
33451,0.34939027,0.20219448,Grupo 3
243120,0.5914657,-0.032087505,Grupo 3
124864,0.63883257,-0.28250468,Grupo 3
217617,0.072393894,0.3913073,Grupo 6
205128,-0.06168604,-0.24123374,Grupo 3
111875,0.0826633,-0.66362345,Grupo 1
79530,-0.94790167,0.19541416,Grupo 5
225802,-0.36446333,0.25189862,Grupo 6
345171,-1.3091617,-0.40710256,Grupo 1
201968,0.46588445,0.1331377,Grupo 4
310212,0.0804708,0.2444408,Grupo 3
440799,0.19557786,0.51197827,Grupo 3
386607,-1.2818393,0.4167163,Grupo 5
294956,-1.4021426,-1.0076549,Grupo 1
273434,-0.0594728,-0.378353,Grupo 1
59050,-0.87110496,0.48042837,Grupo 5
432010,-0.25590217,-0.09048638,Grupo 2
27096,0.6276171,-0.2755878,Grupo 4
357780,-0.7913262,-0.51076937,Grupo 1
352932,-0.4824307,-0.6145141,Grupo 6
228824,0.7993872,0.16705875,Grupo 4
19583,-0.27154517,-0.6421045,Grupo 6
335463,0.7237303,-0.2526739,Grupo 4
90517,0.30640948,-0.124952525,Grupo 3
267037,-0.21778059,-0.8083087,Grupo 1
333467,0.007142067,-0.13475856,Grupo 2
158220,0.7948327,0.18505767,Grupo 4
360907,0.6341777,0.100419775,Grupo 4
318295,0.29964352,0.10691814,Grupo 2
109498,-0.8754904,-0.05365808,Grupo 5
451589,-0.3072095,-0.31158358,Grupo 2
339032,-0.691363,-0.8347173,Grupo 6
300607,-1.4152873,-0.11087546,Grupo 5
125171,0.52603245,0.1441786,Grupo 4
60989,0.38396573,-0.3076362,Grupo 4
189334,0.60377145,-0.31763357,Grupo 4
387241,0.4842832,0.114179686,Grupo 4
160723,0.0670619,0.6959529,Grupo 2
344157,0.29683733,-0.2817303,Grupo 2
337480,-1.1993755,0.66107595,Grupo 5
447714,0.74211454,-0.017492887,Grupo 4
451099,-0.20435286,-0.43163854,Grupo 6
354365,-1.4054801,-1.470635,Grupo 1
255132,-0.5010524,0.6416725,Grupo 5
407529,-0.7041722,0.4041576,Grupo 5
54973,0.39413428,-0.4815216,Grupo 4
403498,0.43046594,0.22207999,Grupo 2
407703,0.059049606,-0.04859916,Grupo 6
40560,0.91807437,0.37157455,Grupo 4
129140,-0.8156328,-0.09448247,Grupo 5
179088,0.40706205,0.24033836,Grupo 3
99172,-0.9976173,0.6553055,Grupo 5
113831,0.7956915,-0.5036882,Grupo 2
150616,-0.19000685,-0.13418283,Grupo 3
329414,0.4863515,0.83872664,Grupo 3
187090,0.49957156,-0.5156559,Grupo 4
39708,-0.028740644,-0.37150955,Grupo 3
229114,0.15041149,-0.7894087,Grupo 2
139706,-0.8142017,0.27175328,Grupo 5
83659,-0.04509318,-0.23068532,Grupo 6
226540,0.6834862,-0.23568268,Grupo 4
255415,0.38228416,-0.2911684,Grupo 2
153135,-1.5279144,0.15394574,Grupo 5
442511,-1.402702,-0.82194805,Grupo 1
307087,0.9257028,-0.046024434,Grupo 4
220317,0.7396333,-0.20384431,Grupo 4
125318,-1.5477895,-0.200543,Grupo 5
68418,-0.1796974,-0.18027952,Grupo 3
456595,-0.20738673,-0.12546848,Grupo 6
128950,-0.62343967,-0.43586946,Grupo 6
238739,-0.91556305,0.18676716,Grupo 5
42793,0.23230898,-0.1288629,Grupo 6
254029,-0.24479806,-0.48269376,Grupo 1
44242,0.8692982,0.18486279,Grupo 4
264397,0.022142649,0.11684242,Grupo 3
63846,-0.73237354,0.545915,Grupo 5
44299,0.194237,-0.3374929,Grupo 3
192204,0.89593315,0.05962102,Grupo 4
270711,0.96095705,-0.10867172,Grupo 4
418005,0.018314958,0.13255033,Grupo 2
37730,-0.5033417,0.16399962,Grupo 5
154925,-0.49538422,0.5501286,Grupo 5
259114,-0.08589625,-0.313165,Grupo 6
394536,-0.8053006,-0.061456066,Grupo 6
67575,-1.0810026,0.8039752,Grupo 5
231416,-0.98396283,-0.28352115,Grupo 5
272069,-1.3252114,-0.7295935,Grupo 1
391380,0.4336915,-0.106678426,Grupo 2
303261,-0.3017378,-0.05370554,Grupo 2
266263,-0.23167503,-0.47481117,Grupo 6
183191,-0.59744906,0.27884158,Grupo 5
14525,0.64010334,-0.432037,Grupo 4
234985,-0.6537801,0.0017901883,Grupo 1
433213,-0.64621544,-0.50557405,Grupo 1
407122,0.26910543,-0.38102794,Grupo 3
39187,-0.2903694,-0.2949897,Grupo 1
115818,0.10326195,-0.65644777,Grupo 6
7954,0.74168396,-0.17396924,Grupo 4
332728,0.39293718,0.43374428,Grupo 2
108419,-0.42464805,0.46264055,Grupo 6
249554,0.54677796,0.04865364,Grupo 4
227472,-0.43395698,0.27486023,Grupo 6
54393,0.5004461,-0.14601487,Grupo 4
261642,0.13950825,-0.8713316,Grupo 6
373225,-0.8214299,0.29063457,Grupo 5
